Value,Description,DTLS-OK,Reference,Comment
0,close_notify,Y,[RFC-ietf-tls-rfc8446bis-13][RFC Errata 7303],
1-9,Unassigned,,,
10,unexpected_message,Y,[RFC-ietf-tls-rfc8446bis-13],
11-19,Unassigned,,,
20,bad_record_mac,Y,[RFC-ietf-tls-rfc8446bis-13],
21,decryption_failed_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
22,record_overflow,Y,[RFC-ietf-tls-rfc8446bis-13],
23-29,Unassigned,,,
30,decompression_failure_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
31-39,Unassigned,,,
40,handshake_failure,Y,[RFC-ietf-tls-rfc8446bis-13],
41,no_certificate_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in SSLv3 but not in TLS.
42,bad_certificate,Y,[RFC-ietf-tls-rfc8446bis-13],
43,unsupported_certificate,Y,[RFC-ietf-tls-rfc8446bis-13],
44,certificate_revoked,Y,[RFC-ietf-tls-rfc8446bis-13],
45,certificate_expired,Y,[RFC-ietf-tls-rfc8446bis-13],
46,certificate_unknown,Y,[RFC-ietf-tls-rfc8446bis-13],
47,illegal_parameter,Y,[RFC-ietf-tls-rfc8446bis-13],
48,unknown_ca,Y,[RFC-ietf-tls-rfc8446bis-13],
49,access_denied,Y,[RFC-ietf-tls-rfc8446bis-13],
50,decode_error,Y,[RFC-ietf-tls-rfc8446bis-13],
51,decrypt_error,Y,[RFC-ietf-tls-rfc8446bis-13],
52,too_many_cids_requested,Y,[RFC9147],
53-59,Unassigned,,,
60,export_restriction_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS 1.0 but not TLS 1.1 or later.
61-69,Unassigned,,,
70,protocol_version,Y,[RFC-ietf-tls-rfc8446bis-13],
71,insufficient_security,Y,[RFC-ietf-tls-rfc8446bis-13],
72-79,Unassigned,,,
80,internal_error,Y,[RFC-ietf-tls-rfc8446bis-13],
81-85,Unassigned,,,
86,inappropriate_fallback,Y,[RFC7507],
87-89,Unassigned,,,
90,user_canceled,Y,[RFC-ietf-tls-rfc8446bis-13],
91-99,Unassigned,,,
100,no_renegotiation_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
101-108,Unassigned,,,
109,missing_extension,Y,[RFC-ietf-tls-rfc8446bis-13],
110,unsupported_extension,Y,[RFC-ietf-tls-rfc8446bis-13],
111,certificate_unobtainable_RESERVED,Y,[RFC6066][RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
112,unrecognized_name,Y,[RFC6066],
113,bad_certificate_status_response,Y,[RFC6066],
114,bad_certificate_hash_value_RESERVED,Y,[RFC6066][RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
115,unknown_psk_identity,Y,[RFC4279],
116,certificate_required,Y,[RFC-ietf-tls-rfc8446bis-13],
117,general_error,Y,[RFC-ietf-tls-rfc8446bis-13],
118-119,Unassigned,,,
120,no_application_protocol,Y,[RFC7301][RFC8447],
121,ech_required,Y,[RFC9849],
122-255,Unassigned,,,
